City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,saint-felix-de-valois,46.1668,-73.4324,274.4,95,100,0.89,CA,1706820469
190,cocachacra,-17.0883,-71.7575,298.53,67,1,3.36,PE,1706820469
191,cabo san lucas,22.8909,-109.9124,302.93,69,0,4.63,MX,1706820301
192,greenville,35.6127,-77.3663,287.66,51,0,3.09,US,1706820337
193,yurga,55.7231,84.8861,258.44,98,100,2.33,RU,1706820471
194,rengali,21.6333,84.05,291.37,70,34,2.42,IN,1706820471
195,college,64.8569,-147.8028,236.33,65,20,0.0,US,1706820472
196,grand falls-windsor,48.9332,-55.6649,268.99,90,100,0.89,CA,1706820472
197,tura,25.5198,90.2201,287.12,72,3,1.21,IN,1706820473
198,richards bay,-28.783,32.0377,295.27,87,3,2.31,ZA,1706820473
199,constantia,44.1833,28.65,271.53,57,0,4.02,RO,1706820269
200,abomsa,9.9833,39.9833,294.03,69,74,1.04,ET,1706820474
201,vorkuta,67.5,64.0,266.8,76,100,6.14,RU,1706820310
202,kurumkan,54.3,110.3,247.66,86,69,1.79,RU,1706820475
203,kununurra,-15.7667,128.7333,300.14,100,53,0.0,AU,1706820476
204,island harbour,50.724,-1.2758,279.78,89,96,3.58,GB,1706820476
205,nova vicosa,-17.8919,-39.3719,299.0,76,38,4.74,BR,1706820477
206,bafoulabe,13.8065,-10.8321,303.34,13,100,2.51,ML,1706820477
207,brigantine,39.4101,-74.3646,283.26,73,100,4.63,US,1706820478
208,lorengau,-2.0226,147.2712,301.01,79,77,3.15,PG,1706820478
209,flin flon,54.7682,-101.865,268.06,93,100,4.12,CA,1706820479
210,north bend,43.4065,-124.2243,287.74,76,75,5.14,US,1706820414
211,ankang,32.68,109.0172,273.45,77,94,2.17,CN,1706820480
212,ambon,-3.6954,128.1814,299.31,15,40,1.54,ID,1706820480
213,mount gambier,-37.8333,140.7667,287.42,82,1,1.86,AU,1706820481
214,sisimiut,66.9395,-53.6735,250.41,99,100,2.5,GL,1706820481
215,fort st. john,56.2499,-120.8529,275.09,80,75,2.06,CA,1706820463
216,souillac,-20.5167,57.5167,299.36,89,75,5.14,MU,1706820482
217,carnarvon,-24.8667,113.6333,297.68,85,76,3.4,AU,1706820483
218,forster,-32.1667,152.5167,295.53,93,0,1.31,AU,1706820483
219,kurchatov,51.6601,35.6521,276.16,94,100,5.9,RU,1706820484
220,bestobe,52.4994,73.0975,261.3,97,93,1.3,KZ,1706820485
221,funafuti,-8.5243,179.1942,304.15,74,75,7.2,TV,1706820485
222,novyy urgal,51.0736,132.5642,237.52,99,89,0.6,RU,1706820486
223,nafpaktos,38.3917,21.8275,279.15,53,18,0.91,GR,1706820486
224,vila velha,-20.3297,-40.2925,301.12,85,20,6.69,BR,1706820487
225,liepaja,56.5419,21.0367,277.14,70,0,5.66,LV,1706820487
226,arteche,12.2645,125.4048,297.82,87,74,3.84,PH,1706820488
227,shahritus,37.2637,68.1385,276.32,54,34,1.83,TJ,1706820488
228,kenai,60.5544,-151.2583,252.2,92,100,3.09,US,1706820489
229,koksovyy,48.1967,40.5989,273.53,86,76,5.56,RU,1706820490
